sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
Dizajn,2,www.studijdizajna.com/,Likovne umjetnosti,Umjetničko područje,Arhitektonski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9633996,45.8083975","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Češki jezik i književnost ; smjerovi: prevoditeljsko - kulturološki, nastavnički",2,www.ffzg.unizg.hr/programi/diplomski.html,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9695033,45.7968407","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Dramaturgija,2,www.adu.unizg.hr/index.php?option=com_content&view=article&id=1010:diplomski-ma-studij-dramaturgije&catid=40:pregled&Itemid=75,Kazališna umjetnost,Umjetničko područje,Akademija dramske umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9701206,45.808606","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekoinženjerstvo,2,www.fkit.unizg.hr/diplomski/ekoinzenjerstvo,Kemijsko inženjerstvo,Tehničke znanosti,Fakultet kemijskog inženjerstva i tehnologije Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9705752,45.80726819999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Ekologija i zaštita prirode,2,www.pmf.unizg.hr/biol/diplomski_studij,Biologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9698015,45.81057029999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Ekologija u kulturi i turizmu,2,www.unizd.hr/tikz/Studijskiprogrami/Diplomskistudiji/tabid/2710/Default.aspx,Informacijske i komunikacijske znanosti,Društvene znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964",Stručnjaci iz područja informatike i tehničkih znanosti
Ekološka poljoprivreda,2,www.pfos.unios.hr/index.php/studiji/diplomski-studiji,Poljoprivreda (agronomija),Biotehničke znanosti,Poljoprivredni fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.7073763,45.556069","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Ekološka poljoprivreda i agroturizam,2,www.agr.unizg.hr/hr/ects/ekološka_poljoprivreda_i_agroturizam/17/11,Poljoprivreda (agronomija),Biotehničke znanosti,Agronomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.029817,45.8282075","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Ekonomija,2,oet.unipu.hr/index.php?id=1385,Ekonomija,Društvene znanosti,Sveučilište Jurja Dobrile u Puli,Sveučilište Jurja Dobrile u Puli,Pula,1,"13.8512586,44.8664084","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,2,www.unidu.hr/ekonomija/144.htm,Ekonomija,Društvene znanosti,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,Dubrovnik,1,"18.1003189,42.6440794","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
